iter	Logloss
0	0.6036436048
1	0.5495157852
2	0.5088375416
3	0.4619620217
4	0.4296659104
5	0.4005989732
6	0.3770360588
7	0.3573040169
8	0.3434173444
9	0.3328627095
10	0.3229829205
11	0.3140341462
12	0.3052858977
13	0.2983108038
14	0.292145737
15	0.2853539891
16	0.2803913439
17	0.274250158
18	0.2715659147
19	0.268857357
20	0.2660651955
21	0.2641564978
22	0.2609441824
23	0.259057638
24	0.2573460059
25	0.2554972607
26	0.2532274022
27	0.2503693666
28	0.2492736702
29	0.2482092614
30	0.2465932116
31	0.2448481154
32	0.2433507824
33	0.2421212423
34	0.241170255
35	0.2406092128
36	0.2393690836
37	0.2389217429
38	0.238531575
39	0.2380862498
40	0.237721809
41	0.2369459437
42	0.2359197211
43	0.2351572771
44	0.2345766526
45	0.2342164199
46	0.2333637292
47	0.2328852048
48	0.2326783849
49	0.2324568029
50	0.2321169181
51	0.2319000061
52	0.2315209902
53	0.2310296367
54	0.2305410672
55	0.2301985956
56	0.2296733429
57	0.2295291021
58	0.2292671158
59	0.2291461288
60	0.2290245868
61	0.2286972938
62	0.2285789142
63	0.228249453
64	0.2279981672
65	0.2276937972
66	0.2275844785
67	0.2273999512
68	0.2271700144
69	0.2270576624
70	0.2270014023
71	0.2268642279
72	0.2268098025
73	0.2267499392
74	0.2266299138
75	0.2265442172
76	0.2264870998
77	0.2264034538
78	0.2262486918
79	0.2260243237
80	0.2258649387
81	0.2258211593
82	0.2257383602
83	0.225694407
84	0.2256346692
85	0.2254854355
86	0.2254472006
87	0.2254052868
88	0.2253232376
89	0.2252604019
90	0.2251328703
91	0.2250724789
92	0.225029766
93	0.2247706369
94	0.2247499709
95	0.2247216755
96	0.2246338544
97	0.2246062812
98	0.2245773924
99	0.2245469723
100	0.224470732
101	0.2244331309
102	0.2243915751
103	0.2242691513
104	0.2242177168
105	0.2241925638
106	0.2241654017
107	0.224119612
108	0.2240672252
109	0.2240051903
110	0.2239859081
111	0.2239622102
112	0.2239314544
113	0.223819313
114	0.2237975185
115	0.2237621673
116	0.2236661057
117	0.2236429775
118	0.2236256879
119	0.2236072436
120	0.2236014183
121	0.2235810053
122	0.2235585482
123	0.2235335877
124	0.2235138633
125	0.2234815321
126	0.2234561785
127	0.2234354706
128	0.2234221651
129	0.2233936544
130	0.2233791419
131	0.2233146583
132	0.2232946062
133	0.2231084669
134	0.2230902624
135	0.2230695511
136	0.223056652
137	0.2230384696
138	0.2229550377
139	0.2228868018
140	0.2228724756
141	0.2228461801
142	0.2228195348
143	0.2227885228
144	0.2227733325
145	0.2226940856
146	0.2226731078
147	0.2226152906
148	0.2225463714
149	0.222476046
150	0.2224538272
151	0.2224436643
152	0.2224246125
153	0.2224074927
154	0.2223917667
155	0.2223315118
156	0.2223157998
157	0.2222939801
158	0.2222733799
159	0.222256204
160	0.2222393034
161	0.2222213796
162	0.2221111384
163	0.2220953645
164	0.222073295
165	0.2220541063
166	0.2220404809
167	0.2219977294
168	0.2219524046
169	0.2219327011
170	0.2219180627
171	0.2219044046
172	0.2218854737
173	0.2218699252
174	0.2218511507
175	0.2218384842
176	0.2218199892
177	0.2218025451
178	0.2217850864
179	0.2217572914
180	0.2217322464
181	0.2217121222
182	0.2216903485
183	0.2215950324
184	0.2215818726
185	0.2215373055
186	0.2215207781
187	0.221500058
188	0.2214869598
189	0.2214646021
190	0.2214533163
191	0.221439859
192	0.2213986898
193	0.2213864759
194	0.2213633427
195	0.2213515712
196	0.2213323307
197	0.2213005168
198	0.2212876323
199	0.2212717239
200	0.221252937
201	0.221242731
202	0.2212252363
203	0.2211815773
204	0.221159422
205	0.2211154953
206	0.2210935488
207	0.2210763723
208	0.2210602382
209	0.2209780056
210	0.2209666199
211	0.2209470078
212	0.2209219172
213	0.2209111659
214	0.2208927709
215	0.2208798434
216	0.2208570574
217	0.2208413482
218	0.2208254731
219	0.220807906
220	0.2207881893
221	0.2207721983
222	0.2207591794
223	0.2207474959
224	0.2207334555
225	0.2207157334
226	0.2207003403
227	0.2206843761
228	0.2206745472
229	0.2206587035
230	0.2206436441
231	0.220628424
232	0.2206129483
233	0.2205955298
234	0.2205787162
235	0.2205525431
236	0.220541087
237	0.2205247508
238	0.220501984
239	0.2204584706
240	0.2204460036
241	0.2204269496
242	0.2204114473
243	0.2203958526
244	0.2203777066
245	0.2203633658
246	0.2203430185
247	0.2203264548
248	0.2202831582
249	0.2202555103
250	0.2202326467
251	0.2201974266
252	0.2201810322
253	0.2201604845
254	0.2201423155
255	0.2200993658
256	0.2200868087
257	0.2200401296
258	0.2200153003
259	0.2199949871
260	0.2199733086
261	0.2199436358
262	0.2199190803
263	0.2199032148
264	0.2198923833
265	0.2198742108
266	0.2198600221
267	0.2197707871
268	0.2197479749
269	0.219725123
270	0.2197075538
271	0.219691201
272	0.2196721735
273	0.2196008464
274	0.2195866886
275	0.2195750748
276	0.2195653724
277	0.2195405942
278	0.2195242143
279	0.2194711012
280	0.2194548221
281	0.2193966833
282	0.2193772044
283	0.2193591415
284	0.2193404864
285	0.2193209071
286	0.2193007079
287	0.2192857187
288	0.2192387501
289	0.2192239926
290	0.219176359
291	0.2191624885
292	0.2191294677
293	0.2191145699
294	0.219091534
295	0.2190788266
296	0.2190585079
297	0.2190417899
298	0.219022521
299	0.2189850488
